DS 3001 Programming Review Spreadsheet,,,,,,,,,,,
,,,,,,,,,,,
1 & 2),,,,,,,,,,,
,,,,,,,,,,,
,,Job,Typical Education Required,Salary,Work Setting,Solo vs Team ,Job Outlook,Highest Employment Concentration,2nd Highest Employment Concentration,On-Job Training?,
,1.,Data Scientist,Bachelor's,"$108,020.00",Office,Both,36.00%,DC,UT,No,
,2.,Lawyer,Doctoral,"$145,760.00",Office,Both,5.00%,DC,NY,No,
,3.,Paralegal,Associate's Degree,"$60,971.00",Office,Solo,1.00%,DC,FL,No,
,4.,Financial Analyst/IB,Bachelor's,"$99,890.00",Office,Team,9.00%,DE,DC,No,
,5.,Political Scientist,Master's,"$132,350.00",Office,Both,3.00%,DC,VA,No,
,6.,Management Analyst,Bachelor's,"$99,410.00",Office,Team,11.00%,DC,VA,No,
,7.,Real Estate Broker,HS Diploma,"$56,620.00",Self-Employed,Solo,2.00%,CO,NE,Yes,
,8.,Project Manager,Bachelor's,"$98,580.00","Office, Travel",Team,7.00%,MD,CO,No,
,9.,Arbitrator,Bachelor's,"$71,540.00",Office,Both,6.00%,MO,ND,Yes,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3),,,,,,,,,,,
,"I was actually surprised by three jobs:  Political scientists, real estate brokers, and management analysts.",,,,,,,,,,
,,,,,,,,,,,
,"Regarding the poli scientists I thought a lot of that work was tied to lobbying corporations, and so I didn't expect the compensation to be that high.  ",,,,,,,,,,
,,,,,,,,,,,
,"For the brokers, I thought that would have been more lucrative, especially as over time I assumed brokers would find themselves dealing with more high-profile properties. I also didn't expect the hotbed for them to be in the midwest. Not  a lot of people live there, so I thought demand would have been way lower, discouraging lots of real estate activity there.",,,,,,,,,,
,,,,,,,,,,,
,"When it comes to management analysts, I didn’t expect that to be a quicker-growing field. I didn't realize growing economies and businesses would mean a need for more hands to be able to effectly plan, mange and direct said companies.",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4),1. Lawyer,,,,,,,,,,
,2. Paralegal,,,,,,,,,,
,3. Political Scientist,,,,,,,,,,
,4. Arbitrator,,,,,,,,,,
,5. Financial Analyst/IB,,,,,,,,,,
,6. Data Scientist,,,,,,,,,,
,7. Management Analyst,,,,,,,,,,
,8. Project Manager,,,,,,,,,,
,9. Real Estate Broker,,,,,,,,,,
,,,,,,,,,,,
,"My dream is to be a lawyer, and so I put the list in order of what I think would help me achieve said dream or help me transition into law later down the line. ",,,,,,,,,,
